alpha,gk_gamma,niter_tn,niter_hcc,acc,acc_std,f1_score,f1_score_std,roc_auc_score,roc_auc_score_std
0.051795,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.071969,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.1,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.13895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.19307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.26827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.372759,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.517947,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.719686,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
1.0,2e-06,3,4,0.7463,0.0411,0.7413,0.0433,0.8113,0.0281
0.01,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.013895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.019307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.026827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.037276,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.051795,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.071969,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.1,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.13895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.19307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.26827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.372759,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.517947,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.719686,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
1.0,2e-06,3,4,0.7463,0.0411,0.7413,0.0433,0.8113,0.0281
0.01,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.013895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.019307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.026827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.037276,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.051795,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.071969,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.1,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.13895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.19307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.26827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.372759,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.517947,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.719686,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
1.0,2e-06,3,4,0.7463,0.0411,0.7413,0.0433,0.8113,0.0281
0.01,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.013895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.019307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.026827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.037276,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.051795,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.071969,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.1,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.13895,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.19307,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.26827,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.372759,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.517947,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
0.719686,2e-06,3,4,0.7653,0.0239,0.7628,0.0228,0.8327,0.0245
1.0,2e-06,3,4,0.7463,0.0411,0.7413,0.0433,0.8113,0.0281
